City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Goderich,43.7501,-81.7165,68.04,59,31,9.22,CA,2021-09-18 15:30:44
1,Grand Gaube,-20.0064,57.6608,72.37,81,16,12.68,MU,2021-09-18 15:32:15
2,Rikitea,-23.1203,-134.9692,71.53,80,100,12.66,PF,2021-09-18 15:32:16
3,Paraiso,9.8383,-83.8656,78.89,60,76,4.16,CR,2021-09-18 15:32:16
4,Sinnamary,5.3833,-52.95,83.55,75,16,7.36,GF,2021-09-18 15:32:16
5,Valparaiso,-33.0393,-71.6273,62.83,66,20,5.75,CL,2021-09-18 15:32:17
6,Mataura,-46.1927,168.8643,39.47,99,72,3.53,NZ,2021-09-18 15:32:17
7,San Matias,-16.3667,-58.4,107.44,14,45,6.44,BO,2021-09-18 15:32:17
8,New Norfolk,-42.7826,147.0587,45.91,77,100,1.01,AU,2021-09-18 15:32:17
9,Biak,-0.9131,122.8766,74.95,82,96,5.73,ID,2021-09-18 15:32:18
10,Umm Bab,25.2142,50.8072,94.68,42,0,9.78,QA,2021-09-18 15:32:18
11,Torbay,47.6666,-52.7314,68.76,70,75,19.57,CA,2021-09-18 15:30:45
12,Ushuaia,-54.8,-68.3,38.86,81,0,0.0,AR,2021-09-18 15:32:18
13,Broome,42.2506,-75.833,78.21,70,75,1.01,US,2021-09-18 15:32:19
14,Corner Brook,48.9667,-57.9484,66.36,81,90,14.88,CA,2021-09-18 15:32:19
15,Conde,-7.2597,-34.9075,85.46,51,40,18.41,BR,2021-09-18 15:32:20
16,Kushiro,42.975,144.3747,58.06,96,100,13.62,JP,2021-09-18 15:32:20
17,Guerrero Negro,27.9769,-114.0611,72.59,71,1,16.08,MX,2021-09-18 15:32:20
18,Saint-Philippe,-21.3585,55.7679,73.22,74,50,9.4,RE,2021-09-18 15:32:21
19,Norman Wells,65.282,-126.8329,42.84,87,75,2.3,CA,2021-09-18 15:32:21
20,Sur,22.5667,59.5289,85.14,68,5,14.72,OM,2021-09-18 15:32:21
21,Jamestown,42.097,-79.2353,77.29,83,75,5.75,US,2021-09-18 15:32:21
22,Voronezhskaya,45.2106,39.5667,74.5,71,99,4.47,RU,2021-09-18 15:32:22
23,Hobart,-42.8794,147.3294,46.26,78,75,3.0,AU,2021-09-18 15:30:23
24,Mavelikara,9.2667,76.55,77.76,92,100,4.5,IN,2021-09-18 15:32:22
25,Dikson,73.5069,80.5464,35.17,71,8,24.25,RU,2021-09-18 15:32:23
26,Brae,60.3964,-1.353,55.31,78,17,5.66,GB,2021-09-18 15:32:23
27,Oranjestad,12.524,-70.027,87.75,62,75,19.57,AW,2021-09-18 15:27:57
28,Itarema,-2.9248,-39.9167,88.77,50,0,20.15,BR,2021-09-18 15:32:23
29,Hermanus,-34.4187,19.2345,66.79,60,46,12.17,ZA,2021-09-18 15:32:24
